# 23,324 BBMP road segments. TWO WIDTH COLUMNS: width_existing_m and width_proposed_m. The proposed figure is larger on 100% of segments (median 18 m vs 9 m) and MUST NOT be used for FAR, height or setback. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
road_id,hierarchy_code,hierarchy_interpretation_unverified,surface_code,width_existing_m,width_proposed_m,length_m,geometry_type,centroid_lng,centroid_lat,vertex_count
42,MA,Major road (unverified expansion),C,9.0,18.0,430.9,LineString,77.526651,12.90597,3
152,MI,Minor road (unverified expansion),C,6.0,12.0,87.6,LineString,77.567271,12.898733,3
425,MA,Major road (unverified expansion),C,12.0,24.0,488.1,LineString,77.538074,12.886026,11
672,MA,Major road (unverified expansion),C,9.0,18.0,118.4,LineString,77.579961,13.051765,2
44,MI,Minor road (unverified expansion),C,6.0,12.0,47.8,LineString,77.594515,12.892881,2
45,MI,Minor road (unverified expansion),C,6.0,12.0,128.9,LineString,77.594905,12.902264,5
151,MA,Major road (unverified expansion),C,9.0,18.0,159.6,LineString,77.575393,12.862497,5
144,MA,Major road (unverified expansion),C,12.0,24.0,15.9,LineString,77.678167,12.926728,3
598,MA,Major road (unverified expansion),C,9.0,18.0,725.7,LineString,77.615226,13.058619,21
599,MI,Minor road (unverified expansion),C,6.0,12.0,174.4,LineString,77.605802,13.075522,3
600,MI,Minor road (unverified expansion),C,6.0,12.0,717.4,LineString,77.61075,13.074401,6
426,MA,Major road (unverified expansion),C,9.0,18.0,92.1,LineString,77.564507,12.863248,2
47,MA,Major road (unverified expansion),C,12.0,24.0,84.8,LineString,77.661659,12.908525,2
161848,MA,Major road (unverified expansion),W,9.0,18.0,717.5,LineString,77.649283,12.867614,52
98298,MA,Major road (unverified expansion),W,12.0,24.0,181.1,LineString,77.692833,13.038333,12
154194,MI,Minor road (unverified expansion),W,6.0,12.0,386.6,LineString,77.669609,12.924367,5
154194,MI,Minor road (unverified expansion),W,6.0,12.0,191.0,LineString,77.673051,12.926473,10
144536,MA,Major road (unverified expansion),W,15.0,30.0,813.8,LineString,77.696315,12.886817,64
220848,MA,Major road (unverified expansion),W,12.0,24.0,228.5,LineString,77.622053,12.943103,9
50,MA,Major road (unverified expansion),C,12.0,24.0,88.3,LineString,77.679645,13.039169,2
51,MA,Major road (unverified expansion),C,12.0,24.0,477.8,LineString,77.679467,13.034604,4
673,MA,Major road (unverified expansion),C,9.0,18.0,54.8,LineString,77.591919,13.048246,2
52,MA,Major road (unverified expansion),C,15.0,30.0,409.5,LineString,77.528429,12.864303,6
100,MI,Minor road (unverified expansion),C,6.0,12.0,68.3,LineString,77.706151,12.946343,2
101,MI,Minor road (unverified expansion),C,7.0,15.0,67.0,LineString,77.698573,12.978124,4
102,MI,Minor road (unverified expansion),C,7.0,15.0,107.1,LineString,77.700755,12.977341,2
103,MI,Minor road (unverified expansion),C,7.0,15.0,313.3,LineString,77.703746,12.97647,4
104,MI,Minor road (unverified expansion),C,8.0,15.0,37.5,LineString,77.706797,12.975238,2
105,MI,Minor road (unverified expansion),C,8.0,15.0,33.1,LineString,77.708419,12.97586,2
106,MI,Minor road (unverified expansion),C,8.0,15.0,43.4,LineString,77.710015,12.976472,2
108,MA,Major road (unverified expansion),C,12.0,24.0,745.3,LineString,77.712068,12.981841,13
108,MA,Major road (unverified expansion),C,12.0,24.0,7.1,LineString,77.715292,12.98143,2
108,MA,Major road (unverified expansion),C,12.0,24.0,84.5,LineString,77.715671,12.981353,6
108,MA,Major road (unverified expansion),C,12.0,24.0,10.3,LineString,77.716137,12.981271,2
108,MA,Major road (unverified expansion),C,12.0,24.0,123.2,LineString,77.716707,12.981181,6
109,MA,Major road (unverified expansion),C,9.0,18.0,553.3,LineString,77.75438,12.966428,10
110,MA,Major road (unverified expansion),C,9.0,18.0,183.0,LineString,77.765757,12.965326,4
111,MA,Major road (unverified expansion),C,12.0,24.0,244.7,LineString,77.736951,12.978607,5
112,MA,Major road (unverified expansion),C,12.0,24.0,394.4,LineString,77.741498,12.978114,10
113,MA,Major road (unverified expansion),C,12.0,24.0,680.5,LineString,77.748233,12.977485,8
115,MA,Major road (unverified expansion),C,12.0,24.0,377.9,LineString,77.764695,12.975032,4
116,MA,Major road (unverified expansion),C,12.0,24.0,282.9,LineString,77.771519,12.974339,6
550,MA,Major road (unverified expansion),C,12.0,24.0,1660.2,LineString,77.622614,12.871776,5
168,MA,Major road (unverified expansion),C,12.0,24.0,697.1,LineString,77.725843,13.004753,14
57,MA,Major road (unverified expansion),C,15.0,30.0,49.8,LineString,77.695674,12.891066,3
60,MA,Major road (unverified expansion),C,15.0,30.0,981.5,LineString,77.694071,12.904833,3
663,MA,Major road (unverified expansion),C,15.0,30.0,2262.0,LineString,77.691628,12.923239,23
68,MA,Major road (unverified expansion),C,15.0,30.0,1418.5,LineString,77.711279,12.907858,6
0,PR,Code 'PR' — expansion not published,C,50.0,100.0,64701.6,LineString,77.666845,13.01437,1785
230225,MA,Major road (unverified expansion),W,9.0,18.0,35.0,LineString,77.609335,13.160786,7
0,MA,Major road (unverified expansion),C,9.0,18.0,384.3,LineString,77.709252,12.937705,4
0,MA,Major road (unverified expansion),W,15.0,30.0,295.7,LineString,77.697974,12.881332,18
15,MA,Major road (unverified expansion),C,15.0,30.0,1036.5,LineString,77.560717,13.087718,12
618,MI,Minor road (unverified expansion),C,6.0,12.0,434.6,LineString,77.622727,13.06334,5
318,MI,Minor road (unverified expansion),C,8.0,15.0,637.8,LineString,77.680163,13.018363,11
