# OpenStreetMap localities for bengaluru (T3, ODbL). name_local is the local-script name where OSM carries one.
name,name_local,place_type,lat,lng
Eshwara Layout,ಈಶ್ವರ ಬಡಾವಣೆ,neighbourhood,12.974382,77.633767
LBS Nagar,ಎಲ್ ಬಿ ಎಸ್ ನಗರ,neighbourhood,12.976475,77.632272
Dollars Colony,ಡಾಲರ್ಸ್ ಕಾಲೋನಿ,neighbourhood,13.041367,77.567815
Nagashettyhalli,ನಾಗಶೆಟ್ಟಿಹಳ್ಳಿ,quarter,13.046814,77.573683
Bhoopasandra,ಭೂಪಸಂದ್ರ,quarter,13.042001,77.578262
Venkatpura,ವೆಂಕಟಪುರ,neighbourhood,12.922558,77.634474
ST Bed Layout,ಎಸ್‌ಟಿ ಬೆಡ್ ಲೇಔಟ್,neighbourhood,12.93477,77.632431
Nagarabhavi,ನಾಗರಭಾವಿ,suburb,12.966418,77.513078
NGEF Layout,ಎನ್‌ಜಿಇಎಫ್ ಲೇಔಟ್,neighbourhood,12.959269,77.509389
Nallurahalli,ನಲ್ಲೂರಹಳ್ಳಿ,quarter,12.969662,77.734502
Green Domain Layout,ಗ್ರೀನ್ ಡೊಮೆನ್ ಲೇಔಟ್,neighbourhood,12.972847,77.714894
Akshaynagar Layout,ಅಕ್ಷಯನಗರ ಲೇಔಟ್,neighbourhood,12.873196,77.614589
Domlur Village,ದೊಮ್ಮಲೂರು ಗ್ರಾಮ,neighbourhood,12.962434,77.635802
Doopanahalli,ದೂಪನಹಳ್ಳಿ,neighbourhood,12.967458,77.639638
Dattatreya Nagara,ದತ್ತಾತ್ರೇಯ ನಗರ,neighbourhood,12.926579,77.539261
