# OpenStreetMap localities for chennai (T3, ODbL). name_local is the local-script name where OSM carries one.
name,name_local,place_type,lat,lng
Sunnambu Kulathur,,suburb,12.942737,80.196617
Narayanapuram,,suburb,12.941797,80.208384
Jalladampet,,suburb,12.919753,80.201692
Karapakkam,காரப்பாக்கம்,suburb,12.911707,80.22772
Injambakkam,ஈஞ்சம்பாக்கம்,suburb,12.918937,80.251295
Uthandi,உத்தண்டி,suburb,12.868768,80.247209
Vengaivasal Panchayat office,,locality,12.900024,80.171564
Peerkankaranai,பீர்க்கன்கரணை,neighbourhood,12.908086,80.100982
Navalur,நாவலூர்,suburb,12.84559,80.227222
Agaram Then,அகரம் தென்,village,12.885731,80.153845
Voltas Colony,வோல்டாஸ் காலனி,neighbourhood,12.974499,80.186368
Union Carbide Colony,யூனியன் கார்பைட் காலனி,neighbourhood,12.97398,80.193148
Kathivakkam,கத்திவாக்கம்,suburb,13.214181,80.31875
Ennore,எண்ணூர்,suburb,13.225826,80.324355
Thazhankuppam,தாழன்குப்பம்,village,13.227136,80.328155
Keelkattalai,கீழ்க்கட்டள்ளை,suburb,12.954847,80.185269
Santoshapuram,,suburb,12.915966,80.17399
Gowriwakkam,கௌரிவாக்கம்,suburb,12.920759,80.161974
Pazhavanthangal,பழவந்தாங்கல்,suburb,12.988352,80.189132
Thillai Ganga Nagar,தில்லை கங்கா நகர்,neighbourhood,12.989843,80.193662
Periamet,,neighbourhood,13.084414,80.269277
Sriram Nagar,ஸ்ரீராம் நகர்,neighbourhood,13.003549,80.244317
Valmiki Nagar,வால்மீகி நகர்,locality,12.98044,80.264558
Sadanandapuram,,locality,12.897366,80.109712
Nedumkundram,,locality,12.879344,80.109583
Unamancherri,,locality,12.860232,80.107308
Meenambakkam,மீனம்பாக்கம்,suburb,12.986601,80.172636
Arunachalapuram,,neighbourhood,13.008735,80.260852
Padmanabha Nagar,பத்மநாப நகர்,neighbourhood,13.004551,80.258729
Karpagam Garden,கற்பகம் கார்டன்,neighbourhood,13.007178,80.261545
Jeevarathinam Nagar,,neighbourhood,13.002057,80.260695
Parameswari Nagar,பரமேஸ்வரி நகர்,neighbourhood,13.002787,80.258125
Radhakrishnan Nagar,ராதாகிருஷ்ணன் நகர்,locality,12.994345,80.258691
Trustpuram,டிரஸ்ட் புரம்,neighbourhood,13.055565,80.223336
Chintadripet,சிந்தாதிரிப்பேட்டை,suburb,13.076126,80.270781
Ezhil Nagar,,village,13.106084,80.122588
Chinna Echankuzhi,,village,13.223057,80.272146
Nappalayam,,village,13.220033,80.272378
Mathur MMDA Colony,,locality,13.170512,80.248069
Madhavaram Milk Colony,மாதவரம் பால் காலனி,suburb,13.155408,80.242525
Madhavaram,மாதவரம்,suburb,13.142931,80.232517
Kosappur,கொசப்பூர்,village,13.18183,80.235098
Chettimedu,,hamlet,13.18339,80.22881
Taramani,தரமணி,suburb,12.984907,80.240407
Kadaperi,,locality,12.93431,80.121504
Kannadapalayam,கன்னடபாளையம்,village,12.936402,80.101642
Kumananchavadi,,locality,13.045625,80.115391
Alapakkam,அலப்பாக்கம்,suburb,13.049901,80.165435
Oriole,,locality,12.873639,80.132597
Vengambakkam,,locality,12.867818,80.127327
Rathinamangalam,இரத்தினமங்கலம்,village,12.858527,80.131642
Kandigai,கண்டிகை,village,12.849503,80.140273
Doveton,,neighbourhood,13.087322,80.258079
Ganesh Nagar,கணேஷ் நகர்,locality,12.979411,80.258162
Devendra Nagar,தேவேந்திர நகர்,neighbourhood,12.978757,80.25546
PTC Colony,,neighbourhood,12.976383,80.256519
AGS Colony,,neighbourhood,12.974592,80.256433
Srinivasa Nagar,,neighbourhood,12.9503,80.246967
Tiruvalluvar Nagar,திருவள்ளுவர் நகர்,neighbourhood,13.018147,80.245819
Nava Bharath Colony,நவ பரத் காலனி,neighbourhood,12.990005,80.266667
Teachers Colony,,locality,12.983369,80.266185
Bakthavatchalam Nagar,,neighbourhood,13.003406,80.253094
Venkateswara Nagar,வெங்கடேஸ்வரா நகர்,neighbourhood,13.00328,80.262057
Damodarapuram,,neighbourhood,13.001807,80.262981
Vinoba Nagar,,locality,12.913917,80.128336
Kovilanchery,கோவிலஞ்சேரி,village,12.880995,80.168806
Ponmar,பொன்மார்,village,12.857482,80.171938
Bhuvaneshwari Nagar,,locality,12.9053,80.149451
Noothanchery,நூதன்சேரி,village,12.896398,80.172985
Ottiambakkam,ஒட்டியம்பாக்கம்,village,12.861072,80.191851
Karanai,,hamlet,12.857327,80.200534
Siruseri,சிறுசேரி,village,12.835026,80.203109
Veerabadhra Nagar,,neighbourhood,12.906255,80.189014
Thazhambur,,hamlet,12.849166,80.208983
Gangai Nagar,கங்கை நகர்,neighbourhood,12.983525,80.215924
Gangaiamman Nagar,,locality,13.074301,80.179458
Dwaraka Nagar Phase I,,locality,13.194938,80.272449
Dwaraka Nagar Phase II,,locality,13.194604,80.278758
Saidayankuppam,சைதையாங்குப்பம்,suburb,13.185479,80.292431
Mattankuppam,மட்டன்குப்பம்,neighbourhood,13.05672,80.279743
Rail Nagar,ரயில் நகர்,locality,13.076594,80.190331
Venkatraman Nagar,வெங்கட்ராமன் நகர்,locality,12.938144,80.148795
Dhanalkshmi Colony,,locality,13.054927,80.205467
Choolai,சூலை,suburb,13.090628,80.262142
Jamalaya Nagar,,locality,13.106081,80.248707
Kannigapuram,,locality,13.107125,80.263442
Mettupalayam,மேட்டுப்பாளையம்,village,13.2299,80.21338
Ekangipuram,,locality,13.104352,80.244348
Kosapet,,locality,13.093935,80.254791
Otteri,ஓட்டேரி,suburb,13.096958,80.248722
Sholavaram,சோழவரம்,suburb,13.238777,80.162218
Kamavarpalayam,,village,13.245685,80.169452
Orakadu,,village,13.241105,80.185454
Budur,,village,13.238233,80.200543
Marampedu,,hamlet,13.23011,80.210097
Arumandhai,,village,13.229358,80.222814
Pudupakkam,,hamlet,13.242356,80.216452
Mapushkanpet,,hamlet,13.247616,80.21662
Sozhipalayam,,village,13.234842,80.173307
Vichoor,,village,13.218467,80.245762
Kodipallam,,hamlet,13.234884,80.22783
Mullaioval,,hamlet,13.245682,80.235565
Periya mullaivoyal,,hamlet,13.242158,80.239748
Vellivoyal,,village,13.226212,80.256885
Thirunillai,,hamlet,13.233632,80.236046
Angadu,,hamlet,13.227222,80.186976
Siruniam,சிருனியம்,village,13.223516,80.173403
Kummanur,,village,13.220228,80.197402
Perungavoor,,hamlet,13.216395,80.220227
Red Hills,செங்குன்றம்,suburb,13.192279,80.183766
Lakshmipuram,இலட்சுமிபுரம்,village,13.177055,80.156527
Kollumedu,கொள்ளுமேடு,village,13.163424,80.115406
Arikkambedu,ஆரிக்கம்பேடு,village,13.161004,80.129012
Vellanur,வெள்ளனூர்,village,13.157876,80.101583
Alamadhi,அலமாதி,village,13.209838,80.110122
Upparipalayam,,village,13.203724,80.137438
Kovilpadagai,,locality,13.137659,80.102028
Pallipuram,,village,13.245742,80.26164
Vellaiveyil Chavadi,,village,13.230193,80.273442
Kandakarai,,village,13.236802,80.274738
Gounderpalayam,கவுண்டர்பாளையம்,village,13.242909,80.272781
Vellankulam,,village,13.206117,80.257306
Sirungavoor,,hamlet,13.209201,80.216398
Kannampalayam,கண்ணம்பாளையம்,village,13.201563,80.225411
Darkas,,village,13.20132,80.212846
Singilimedu,,hamlet,13.206501,80.21197
Vilangadupakkam,,hamlet,13.197936,80.219103
Alinjivakkam,அழிஞ்சிவாக்கம்,village,13.192621,80.198632
Tharachand Nagar,,locality,13.054056,80.195338
Mahaveer Colony,மஹாவீர் காலனி,neighbourhood,13.082917,80.261558
Chinmaya Nagar,சின்மயா நகர்,locality,13.062214,80.199184
Karianchavadi,,locality,13.047152,80.110794
New Erumaivettipalayam,,village,13.241383,80.120562
Urur Kuppam,,neighbourhood,13.004176,80.273289
Kaveri Rangan Colony,காவேரி ரங்கன் காலனி,neighbourhood,13.053764,80.201233
Seethammal Colony Extension,,neighbourhood,13.034499,80.247447
Kalaimagal Nagar,,locality,13.02529,80.205427
Defence Colony,,locality,13.022007,80.199503
Sundar Nagar,சுந்தர் நகர்,locality,13.016778,80.198731
Ekkattuthangal,ஈக்காட்டுத்தாங்கல்,suburb,13.024245,80.206551
Ambal Nagar,அம்பாள் நகர்,locality,13.018353,80.20445
Navaratna Gardens,,locality,13.023086,80.201086
Burma Colony,பர்மா காலனி,locality,13.028268,80.196276
Achutan Nagar,,locality,13.020278,80.201026
Vasudevan Nagar,வாசுதேவன் நகர்,locality,13.028288,80.206826
Saptagiri Colony,,locality,13.030053,80.202577
Y Block,,locality,13.086877,80.211665
W Block,,neighbourhood,13.08667,80.2165
X Block,,locality,13.087511,80.214028
Q Block,,locality,13.091406,80.216724
R Block,,locality,13.091454,80.214196
S Block,,locality,13.091534,80.211908
V Block,,locality,13.089614,80.211924
U Block,,locality,13.089518,80.21418
T Block,,neighbourhood,13.089406,80.216516
E Block,,neighbourhood,13.086926,80.219444
F Block,,neighbourhood,13.08683,80.221636
Labour Colony,,neighbourhood,13.015472,80.209408
Bharathidasan Colony,பாரதிதாசன் காலனி,locality,13.033573,80.204406
Nehru Nagar,நேரு நகர்,neighbourhood,13.215933,80.318729
Kellys,,neighbourhood,13.082819,80.243328
Lotus Colony,,neighbourhood,13.029642,80.240377
Nandanam Extension,,neighbourhood,13.028186,80.243314
Ganesapuram,கணேசபுரம்,neighbourhood,13.030853,80.245009
Sector 10 Shanthiniketan Colony,,locality,13.04285,80.194905
Sector 9 Santosh Colony,,locality,13.042816,80.195834
Sector 4 Rajamannar Colony,,locality,13.041976,80.200522
Sector 3,,locality,13.041527,80.203687
Sector 2,,locality,13.039379,80.202989
Sector 5 Goutham Colony,,locality,13.039717,80.200887
Sector 8,,locality,13.040186,80.197688
Sector 11,,locality,13.040635,80.194506
Sector 1 Sowbaghya Colony,,locality,13.037499,80.202658
Sector 6 Sangeetha Colony,,locality,13.037779,80.199858
Sector 7 Kamadhenu Colony,,locality,13.038144,80.197329
Sector 12,,locality,13.038575,80.194279
Sector 13,,locality,13.041004,80.20756
Sector 14,,locality,13.044083,80.206491
Paari Nagar,பாரி நகர்,locality,13.027895,80.209076
