# 4,151 survey parcels from digitised Bengaluru Urban revenue sheets. COVERAGE IS PARTIAL (3 taluks, 7 hoblis). A survey number here is INDICATIVE and settles nothing about boundary or title. Geometry reduced to a centroid. This row is NOT a boundary — joining on the centroid gives you a point inside (or near) the shape, not the shape.
taluk,hobli,village,survey_number,pcode,district,source_sheet,geometry_type,centroid_lng,centroid_lat,vertex_count
Bangalore East,Krishnarajapura,Bendeganahalli,13,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.657042,12.995388,15
Bangalore East,Krishnarajapura,Bendeganahalli,57,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.668216,12.994746,34
Bangalore East,Krishnarajapura,Bendeganahalli,29,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.652268,12.995356,12
Bangalore East,Krishnarajapura,Bendeganahalli,62,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.670264,12.995262,16
Bangalore East,Krishnarajapura,Bendeganahalli,9,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.660556,12.995441,6
Bangalore East,Krishnarajapura,Bendeganahalli,SETTLEMENT,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.662688,12.995096,13
Bangalore East,Krishnarajapura,Bendeganahalli,79,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.666728,12.995332,5
Bangalore East,Krishnarajapura,Bendeganahalli,10,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.661176,12.994708,15
Bangalore East,Krishnarajapura,Bendeganahalli,1,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.66355,12.995301,7
Bangalore East,Krishnarajapura,Bendeganahalli,82,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.665068,12.995099,4
Bangalore East,Krishnarajapura,Bendeganahalli,78,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.666877,12.995097,6
Bangalore East,Krishnarajapura,Bendeganahalli,80,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.66625,12.994716,10
Bangalore East,Krishnarajapura,Bendeganahalli,11,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.66009,12.994929,8
Bangalore East,Krishnarajapura,Bendeganahalli,77,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.66706,12.994905,7
Bangalore East,Krishnarajapura,Bendeganahalli,83,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.665142,12.994512,9
Bangalore East,Krishnarajapura,Bendeganahalli,14,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.654609,12.994022,14
Bangalore East,Krishnarajapura,Bendeganahalli,12,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.659316,12.994283,9
Bangalore East,Krishnarajapura,Bendeganahalli,148,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.662309,12.994465,6
Bangalore East,Krishnarajapura,Bendeganahalli,63,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.670455,12.992995,15
Bangalore East,Krishnarajapura,Bendeganahalli,23,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.650613,12.993489,12
Bangalore East,Krishnarajapura,Bendeganahalli,84,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.664869,12.9939,16
Bangalore East,Krishnarajapura,Bendeganahalli,76,200301005003,Bengaluru Urban,Bangalore_East_KRPura1_Benniganahalli_Revenue_Map,Polygon,77.667067,12.994468,7
